game_id,title,developers,publishers
3258800,niva,['Stellar Vault'],['Creajeux']
3259020,sculplings playtest,Unknown,
3258140,mystic warfare playtest,Unknown,
3256980,guitar fretter,['Rob Stenzinger'],['Rob Stenzinger']
3256370,魔法符石 playtest,Unknown,
3256170,异兔传说 playtest,Unknown,
3255400,zone meditation,"['Kevin Wacknov', 'Stuart Heller PhD 7th Dan']",['Mind Body Aware Games LLC']
3255440,left to float,['Chris Antoni'],['Chris Antoni']
3255520,bombseeker playtest,Unknown,
3198310,orendale playtest,Unknown,
2230230,justice seeker: unsafe data playtest,Unknown,
3255600,poly fire,['Abdalrahman Hamid'],['Abdalrahman']
3255000,sexy memory puzzle - gay pool,['EroticGamesClub'],['EroticGamesClub']
3255190,to the kingdom playtest,Unknown,
3254320,world rally arcade,['Toby Holloway'],['Toby Holloway']
3254440,rzr,['SeikaGames'],['SeikaGames']
3254480,software dev tycoon playtest,Unknown,
3254040,one bear army playtest,Unknown,
3254130,blood=bullets,['Slendykray'],['Slendykray']
3254180,dino age: dinosaur survival game playtest,Unknown,
3253220,make it! crepe,['SAT-BOX'],['SAT-BOX']
3252910,party blackout playtest,Unknown,
3253070,the gate,['Nexus Media'],['Nexus Media']
3253210,catto's post office playtest,Unknown,
3252300,决斗胜歌 playtest,Unknown,
3252500,melt them all,['coderKillo'],['coderKillo']
3252590,sexy memory puzzle - futanari doctor,['EroticGamesClub'],['EroticGamesClub']
3252210,gug playtest,Unknown,
3251370,lawnmower game: 2024,"['Tero Lunkka', 'Valkeala Software']",['Valkeala Software']
3251610,space memory: dogs,['Quantum Quiver Games'],['Quantum Quiver Games']
3294120,centipede gun playtest,Unknown,
3292870,hopeless sea playtest,Unknown,
3291420,the czar is dead 2 playtest,Unknown,
3286850,jinchou playtest,Unknown,
3286340,junxions playtest,Unknown,
3284050,halloween stories: written in blood collector's edition,['Elephant Games AR'],['Big Fish Games']
3283700,islets defense playtest,Unknown,
3282840,our journey playtest,Unknown,
3282640,insurrection playtest,Unknown,
1431940,outwars,['SingleTrac Entertainment Technologies'],['Ziggurat']
1431950,decks & daggers,['Osarion'],['Osarion']
1432000,timeline traveler ii: dream,['Mifux Studio'],['Mifux Studio']
1432020,jay schilling's edge of chaos,['Jolt Country'],['Jolt Country']
1432050,nobody saves the world,['DrinkBox Studios'],['DrinkBox Studios']
1432100,the bookwalker: thief of tales,['DO MY BEST'],['tinyBuild']
1432110,puzzle bowling,['Defroids'],['Defroids']
1431550,secure the skies,['Double Uppercut Games'],['Double Uppercut Games']
1431570,glass,['TeamSnowball'],['TSB']
1431610,prison simulator prologue,['Baked Games'],"['Baked Games', 'PlayWay S.A.']"
1431620,cybercube battle,"['Vitok', 'Kedexa']",['Vitok']
1431630,gallic wars: battle simulator prologue,['MadGamesmith'],['WIG Publishing']
1431690,mr. hibbl,['ThiGames'],['ThiGames']
1431720,evergate: ki's awakening,['Stone Lantern Games'],['PQube']
1431730,try to win 2,['The Overall Angle'],['The Overall Angle']
1431770,jungleknight,['scgame'],['scgame']
1431780,the black heart,['Andrés Borghi'],['Saibot Studios']
1431790,剑与羁绊,['y2工作室'],['y2工作室']
1431840,murder by moonlight - call of the wolf,['eFunSoft Games'],['HH-Games']
1431850,the tartarus key,['Vertical Reach'],['Armor Games Studios']
1431890,starfighter renegade,['MadeOfDinosaurs'],['MadeOfDinosaurs']
1431150,longpath,['abdulkadir cam'],['Teorldegames']
1431170,pepo,['TeamBUD'],['TeamBUD']
1431180,don't wake the night,['Brujería @ Werk'],['Brujería @ Werk']
1431190,bunny's trail,['ShortStackStudio'],['ShortStackStudio']
1431210,mahjong - medieval fantasy,['Boogygames Studios'],['Boogygames Studios']
1431220,"10mg: slasher, interrupted",['Softerror Interactive'],['10mg']
1431230,gods of sand,"['Achenar Studios', 'Sad Socket']",['Sad Socket']
1431240,coloring book for adults,['Peaksel'],['Peaksel']
1431270,arcana sands of destiny,['Invoke Games'],['Invoke Games']
1431290,sam & max: this time it's virtual!,['HappyGiant'],['Big Sugar']
1431350,santa claus in trouble (hd),['Joymania Development'],['Joymania Development']
1431370,thrustworks,['Wacky Wallaby'],['Dystopian Edge Publishing']
1431380,mage world - the wizard's stone,['darksciencelab'],['darksciencelab']
1431420,10mg: cover me in leaves,['Elliot Herriman'],['10mg']
1431430,tiny island,['Geeky House'],['Geeky House']
1431450,do i smell pizza?,['Bad Kid Games'],['Bad Kid Games']
1431470,mythos ever after: a cthulhu dating sim,['Stegalosaurus Game Development'],['Stegalosaurus Game Development']
2224990,sweetlads' werewolf playtest,Unknown,
3048880,trouble of tabu playtest,Unknown,
1430720,clash of warlords,['XINLINE GAMES'],['XINLINE GAMES']
1430740,mine crazy: the korean grinder,['Dano Sato'],['RealMono Inc.']
1430810,world of wonder,['Andrew Grbac'],['Andrew Grbac']
1430820,monstermonger,['George Gilbert'],['George Gilbert']
1430970,astatos,['Studio Klondike Australia'],['Studio Klondike']
1430980,space love delta,['Kavorkaplay'],['Kavorkaplay']
1431020,blurple food wars,['Patrick Milholland'],['Patrick Milholland']
1431040,golazo! soccer league,['Purple Tree S R L'],['Purple Tree S R L']
1431100,rollerballer,"['RedKar Devs', 'Unknown Studios']",['RedKar Devs']
1430200,space empires iii,['Malfador Machinations'],['Strategy First']
1430240,the space in between,"['Emily Pitcher', 'Ray Hsiao', 'Alan Guan', 'Hayden Nuyens', 'Elizabeth Han', 'Julia Lee', 'Wei', 'Richard Cheng']","['Emily Pitcher', 'Ray Hsiao', 'Alan Guan', 'Hayden Nuyens', 'Wei', 'Richard Cheng']"
1430280,angry emoji the game,['TrilliGames'],['TrilliGames']
1430310,netgunner,['Timesink'],['DigiPen Institute of Technology']
1430320,boom face,['2 Barrel Arts'],['2 Barrel Arts']
1430340,vocal space shooter,"['Pinion Game Studio', 'Hugo Yasha Games']",['Punion Game Studio']
1430420,cbt with yuuka kazami,['Sigyaad Team'],['Sigyaad Team']
1430640,into the haze,['MSOFT'],['MSOFT']
1430680,clash: artifacts of chaos,['ACE Team'],['Nacon']
1430690,stay safe 2020,['Mohamed Shiyam'],['Mohamed Shiyam']
1429780,marble maid,['Shady Corner Games'],['Shady Corner Games']
1429820,neko nyaa~,['BrickCream'],['BrickCream']
1429870,vectro blast,['Sagittaras Games'],['Sagittaras Games']
1429890,singularity,"['Jingjing Shen', 'Cody Wren', 'David Tree']",['Screen South']
1429950,apotheker,['Pine Drake Games'],['Pine Drake Games']
1430010,迷途,['白雪山工作室'],['白雪山工作室']
1430030,the monster of memory:destiny,"['Narrator', 'Tong Li Publishing Co.']",['Tong Li Publishing Co.']
1430040,jump again!,['Dymchick1'],['Dymchick1']
1430070,too different,['Hosted Games'],['Hosted Games']
1430100,fade,['Azimyth Studios'],['Azimyth Studios']
1428880,consortium vr,['Interdimensional Games Inc'],['Interdimensional Games Inc']
1424720,墨心：波云诡船,['1001 Studio'],['1001 Studio']
1430120,moving letters,['Airem'],['Airem']
1430140,space empires ii,['Malfador Machinations'],['Strategy First']
1430160,lineart jigsaw puzzle - erotica,['EGC Games'],['EGC Games']
1430180,musical balls,['Avery Kirby'],['Avery Kirby']
1429350,mh-zombie,['Raulworks'],['Raulworks']
1429400,mousebound,['GNos Games'],['GNos Games']
1429480,honeyland,['Caio Flavio'],['Remix Games']
1429500,frontier hunter: erza’s wheel of fortune,['IceSitruuna'],"['IceSitruuna', 'NPC Entertainment']"
1429530,azlan: rise of the burlpups,['Ministry of Immersion'],['Ministry of Immersion']
1429610,~府城少女~ 以妳為名的府城情書,['kolorogame'],['kolorogame']
1429630,the king of warriors : battle in the three kingdoms,['UnieWare'],['UnieWare']
1429640,hinge vr,['Arcadia'],['Arcadia']
1429670,dungeon lord,"['TALESSHOP Co., Ltd.']","['TALESSHOP Co., Ltd.']"
1429680,space plane,['Artur Petrov'],['Artur Petrov']
1429700,arcadeon vr,['Actura Studios'],['Actura Studios']
1429730,project mirror,['Dogsnake Games'],['Dogsnake Games']
1429740,raji: prologue,['Nodding Heads Games'],['Nodding Heads Games']
1428780,animal rescuer,['Turquoise Revival Games'],['Turquoise Revival Games']
1428790,madhack,['WHITE TIGERS Games'],['WHITE TIGERS Games']
1428820,wordle 3,['PreoNus Games'],['Gigantum Games']
1428840,10mg: snaaak,"['Clovelt', 'Jok']",['10mg']
1428870,grapple,['Barji'],['Barji']
1428900,tadpole tales,"['Andrei Cretu', 'Giacomo Autili', 'Tomer Barnea']",['Pinnical Studio']
1428970,where the snow settles,['Myriad Games Studio'],['Myriad Games Studio']
1428980,the count of monte carlo,['Phil Blank'],['Phil Blank']
1429040,kaputte kranz chap1,['Sticky Rice'],['Sticky Rice']
1429100,siren head: the siren's forest,['Gwydion LLyr Meredydd'],['Gwydion LLyr Meredydd']
1429130,disquiet fields,['CocoCode'],['CocoCode']
1429160,prairie survival,['REFLEX'],['REFLEX']
1429210,gelldonia,['Bombreature Games'],['Bombreature Games']
1429260,robot rogue,['Aineko Games'],['Aineko Games']
1428270,good puzzle: animals,['Laush Dmitriy Sergeevich'],['Laush Studio']
1428290,anime - match the memory,['Boogygames Studios'],['Boogygames Studios']
1428300,chronodojo,['StarCouch Studio'],['StarCouch Studio']
1428310,the test: final revelation,['Randumb Studios'],['Randumb Studios']
1428360,too much water,['Filip Budd'],['Filip Budd']
1428420,nucleares,['Iván Marcelo Pretti'],['Iván Marcelo Pretti']
1428440,change the world,['Tea Leaf Studios'],['Tea Leaf Studios']
1428460,bisque doll,['寒蟬'],['寒蟬']
1428470,stowaway,['Sandstorm Studios Inc.'],['Sandstorm Studios Inc.']
1428480,adventures of bruce,['Graham Chow'],['Graham Chow']
1428520,mech engineer,['KiberKreker'],['MicroProse Software']
1428530,blr80,['Atman Software'],['Atman Software']
1428550,one night with clara,['Kissend'],['Kissend']
1428560,life with mary,['Likesblondes'],['Likesblondes']
1428570,godland : the fire quest,['Rabah Chikhi'],['Rabah Chikhi']
1428580,quiet valley,['James Horn'],['James Horn']
1428610,animal rescuer: prologue,['Turquoise Revival Games'],['Turquoise Revival Games']
1428630,diamond hunt,['RockingDyde!'],['RockingDyde!']
1428650,gladiators tale,['Xavier Lopes'],['Xavier Lopes']
1428150,savage,['Lightning Cop'],['HM.GAMES']
1428160,nosferatu's butler,"['Ani4Bio Animated', 'Isiflix Prod.']",['Ani4Bio Animated']
1428180,death box,['rayusan'],['rayusan']
1427540,attack from planet smiley,['William Good'],['William Good']
3099340,cathy et les autres playtest,Unknown,
1428680,abiko the miko 2,['Nacks Soft'],['Nacks Soft']
1428700,under the hood,['Shady Corner Games'],['Shady Corner Games']
1428710,the tarnishing of juxtia,['Actual Nerds'],"['Mastiff', 'Neverland Entertainment']"
1428730,bros - battle royale of survival,['Paint Cube'],['Paint Cube']
1428770,kingdom gun,"['Incredible Two Studios, LLC']","['Incredible Two Studios, LLC']"
1427800,mutant ops,['Jacob Navarro'],['Warhog Games']
1427860,paradise lust,['Flexible Media'],['Flexible Media']
1427880,beat me! - puppetonia tournament,['Red Limb Studio'],['Red Limb Studio']
1427890,blaston,['Resolution Games'],['Resolution Games']
1427900,1001 jigsaw world tour africa,['Somer Games'],['8floor']
1427910,gem legends,['Wellore'],['8floor']
1427920,griddlers ted and pet,['Creobit'],['8floor']
1427930,fairytale mosaics cinderella,['Somer Games'],['8floor']
1427940,pirate jigsaw,['Creobit'],['8floor']
1427950,solitaire halloween story,['Creobit'],['8floor']
1427960,jigsaw boom,['Creobit'],['8floor']
1427970,asian riddles 3,['Creobit'],['8floor']
1427980,strike solitaire 3,['Creobit'],['8floor']
1427990,jigsaw tour,['Creobit'],['8floor']
1428030,prince of wallachia,['SP GAMES'],['SP GAMES']
1428040,gizmos: spirit of the christmas,['Oleg Sereda'],['Oleg Sereda']
1428060,aquamariner,"['Neon Dream Interactive', 'Nova Realities']","['Neon Dream Interactive', 'Nova Realities']"
1428080,house with puzzles,['ByteTeam'],[' ByteTeam']
1428100,instruments of destruction,['Radiangames'],['Radiangames']
1428130,dark magic,['FEDOS CHANNEL'],['FEDOS CHANNEL']
1427570,pepe's revenge,"['Carlos Bott', 'FractalDev Games']",
3083840,popcorn! playtest,Unknown,
1691580,batora: lost haven playtest,Unknown,
1427620,caapora adventure - ojibe's revenge,['Overaction Game Studio'],['Overaction Game Studio']
1427640,all-time battle,"['Broken Bunny Studios, Inc']","['Broken Bunny Studios, Inc']"
1427680,magia x,"['Superacid', 'Manlev Games']",['Superacid']
1427700,realm engine | virtual tabletop,['Blake Johnson'],['Pixel Ghost']
1427710,emptybottle,['Nerve Singer'],['Gamera Games']
1427030,inukari - chase of deception,['EinzelartigGames'],['EinzelartigGames']
1427100,eat fish 3d,['续梦科技工作室'],['续梦科技工作室']
1427120,consequence,['Mr. Noodle'],['Mr. Noodle']
1427130,elusive world,['PistolizedCannon'],['PistolizedCannon']
1427140,among school girls,['Blessing Company'],['Blessing Company']
1427150,the episodic,['Redwoods Digital Games'],['Redwoods Digital Games']
1427210,from the shadows,['Gamagora ICOM'],['Gamagora ICOM']
1427290,jiguland,['Jiguman'],['Jiguman']
1427300,detours,['Mismatched Games'],['Code Coven']
1427320,decamped,['Sobek Games'],['Sobek Games']
1427400,sky journey - jigsaw landscapes,['RSoft Games'],['RSoft Games']
1427420,bloodland,['Kultured Dev'],['Kultured Dev']
1427450,dino drink,['ByteMirage'],['ByteMirage']
1427480,miner ultra rag smash,['Sinned Games'],['Sinned Games']
1426530,sid classic,['Singta inc.'],['Singta inc.']
1426540,angry cat,['515 Games'],['515 Games']
1426560,ghost opera house 剧院魅影,['Jian Ou'],['Jian Ou']
1426570,space station 51,['YZ'],['YZ']
1426740,aveliana,['TheFrenchDev (Romain)'],['TheFrenchDev']
1426890,jewel match solitaire collector's edition,['Suricate Software'],['Grey Alien Games']
1426900,dread nautical,['Zen Studios'],['Zen Studios']
1426950,heart of dungeon,['Hitori Games'],['Hitori Games']
1425770,再苟一步 one more step,['01 Games'],[' AplusGames']
1425790,刺沙,['刺沙'],['刺沙']
1426980,hidden memory - nature,['YAW Studios'],['YAW Studios']
1426990,anime - space sniper,['Seito Games'],['Seito Games']
1426090,my yandere sister loves me too much!,['Norn'],['Cherry Kiss Games']
1426100,boingboingouch,['Michael Nassey'],['mobpig']
1426110,love n dream: virtual happiness,['Secret Labo'],['Secret Labo']
1426120,re:destiny,['D-Ark Studio'],['Secret Labo']
1426130,mayor madness,['Sola Games'],['Sola Games']
1426160,the den of worms,['Scream In To Void'],['Scream In To Void']
1426190,bloody horde,['TC Games'],['TC Games']
1426230,it's not about the end,['Matheus Estevão'],['Matheus Estevão']
1426280,hello puppets! vr,['Otherworld Interactive'],['Otherworld Interactive']
1426310,dee-6: dice defenders,"[""KBA3u's factory""]","[""KBA3u's factory""]"
1426330,mega veg man,['Bug Bounty Games'],['Bug Bounty Games']
1426340,super dream-weaver,['RetroSocks'],['RetroSocks']
1426370,cat attack,['CoolSoft'],['CoolSoft']
1426400,beat 'em up,['Glitch Studio'],['Glitch Studio']
1426440,microvolts: recharged,['Masangsoft'],['Masangsoft']
1426470,blade assault playtest,Unknown,
1426480,fate of kai,['TRYLIGHT GAME STUDIO'],['TheGamePublisher.com']
1426490,lost epic,"['oneoreight', 'Team EARTHWARS']",['oneoreight']
1426500,reboot,['Plug'],"['Plug', 'WindField Games']"
1425550,who is the liar?,['ASA Games Studio'],['ASA Games Studio']
1425580,last soul - prologue,['Wulum Creative Technology Ltd.'],['Wulum Creative Technology Ltd.']
1425590,hyper meteor,['Vertex Pop'],['Vertex Pop']
1425620,赤蛮奇的头头大冒险 ~ sekibanki head adventure,['此幻社 ~ TheGensou Studio'],['此幻社 ~ TheGensou Studio']
1425630,space crusaders,['AbsurdPoncho'],['AbsurdPoncho']
1425640,minestrife,['Tilenauts'],['Tilenauts']
1425670,shadow eclipse,['Shadow Eclipse'],['Shadow Eclipse']
1425690,eden's lair,['Hallowed-Gin'],['Hallowed-Gin']
1425720,human constructor vr,['Exxit'],['Exxit']
1425730,gal*gun returns,"['INTI CREATES CO., LTD.']",['PQube']
1425830,halley's dream,['XMT Game'],['XMT Game']
1425920,crazy engineer,['MaGames'],['MaGames']
1425130,forgotten hill first steps,['FM Studio'],['FM Studio']
1425140,until last breath,['Mario Murkl'],['Mario Murkl']
1425170,car jump,['Giulio Scorpiniti'],['Giulio Scorpiniti']
1425240,match it!,['Jesse McCabe'],['Jesse McCabe']
1425250,gravity field,['Kazakov Studios'],['Kazakov Studios']
1425260,chibi horror: the school,['W&H Game Systems'],['W&H Game Systems']
1425270,pago forest: tower defense,['Futurtech'],"[""Nova's Army""]"
1425280,tantal,['Dnovel'],['My Way Games']
1425300,factorization,['Celerium Games'],['Celerium Games']
1425330,eye of the beholder,['Reptoid Games'],['Fathom Film Group']
1425350,botany manor,['Balloon Studios'],['Whitethorn Games']
1425370,razenroth 2,['Enitvare'],['Enitvare']
1425380,10mg :),"['torcado', 'Bibiki']",['10mg']
1425390,eat or die!,['The Big Studio'],['The Big Studio']
1425410,castlehold,['5TH Cell'],['5TH Cell']
1425510,clown in a house,['Krispy Animation'],['Krispy Animation']
1424630,cosmodreamer,['あうとさいど'],['あうとさいど']
1424640,余烬,['宁夏华夏西部影视城有限公司'],['宁夏华夏西部影视城有限公司']
1424650,flicker,"['Dano Sato', 'JKArmi']",['RealMono Inc.']
1424660,9-nine-:episode 4,['PALETTE'],['Sekai Project']
1424690,hatchwell,['Adrian Corpuz'],['Adrian Corpuz']
1424700,the secret of the stone,['2S Games'],['2S Games']
1424710,geneforge 1 - mutagen,['Spiderweb Software'],['Spiderweb Software']
1424770,aery - little bird adventure,['EpiXR Games UG'],['EpiXR Games UG']
1424780,my little dog adventure,['EpiXR Games UG'],['EpiXR Games UG']
1424790,aery - broken memories,['EpiXR Games UG'],['EpiXR Games UG']
1424860,bish bash bots,['CATASTROPHIC_OVERLOAD'],['Firestoke']
1424870,cross maid,['双叶小组'],"['双叶小组', 'NVLMaker']"
1424890,天仙变,['上海闪速软件发展有限公司'],['上海闪速软件发展有限公司']
1424900,air attack,['Four Pixels Games'],['Four Pixels Games']
1424910,keo,['Redcatpig Studio'],['Redcatpig Studio']
1424960,random(platformer),['remete'],['remete']
1424980,the solitaire conspiracy,['Bithell Games'],['Bithell Games']
1425010,forkjump,['intety'],['intety']
1425030,cyberwinter,['Panda Pasha Games'],['Panda Pasha Games']
1425050,erazer - devise & destroy,['Creetah Ltd'],['Creetah Ltd']
1425070,golden force,['Storybird Studio'],['PixelHeart']
1425090,exotium - episode 1,['ALPHY'],['ALPHY']
1425110,space empires i,['Malfador Machinations'],['Strategy First']
1425120,clutter evolution: beyond xtreme,['Puzzles by Joe'],['Grey Alien Games']
1424190,curious alice,['PRELOADED'],"['Victoria and Albert Museum ', 'VIVE Arts']"
1424250,puzzzle,['Stephen Walton'],['Stephen Walton']
1424270,brew & brawl - gnomes vs. dwarves,['Milk Carton Games'],['Milk Carton Games']
1424300,jester / king,['Rolling Crown'],['Rolling Crown']
1424350,bunny hill,"['DogmaQuest', 'Brendan Roarty']",['DogmaQuest']
1424380,bunker down,['Brett Schlereth'],['Brett Schlereth']
1424420,warchief,['Honikou Games'],['Honikou Games']
1424500,secret of the lost keys - episode i: the attack on disred,['Jose Luis Escobar'],['Jose Luis Escobar ']
1424520,astria,['Rémi Adriano'],['Rémi Adriano']
1424570,delta0,['JSR-Productions'],['JSR-Productions']
1424610,自西徂东,['为了共和开发团队'],['为了共和发行团队']
1691590,shield cat playtest,Unknown,
1423780,plague m.d.,['CosCom Art Group'],['CosCom Art Group']
1423830,cave crawl,['Henrik Pira'],['Henrik Pira']
1423970,hunt the lights,['Wild Monkeygames'],['Wild Monkeygames']
1423980,streatham hill stories,['Anthony Staines'],['Antz Technology']
1424020,wrath of the violent vicar - interactive film,"[""Let's go to the Grindhouse""]","[""Let's go to the Grindhouse""]"
1424050,chess'extra,['JFxGames'],['JFxGames']
1424070,blocks stacking,['Miroslav Bago'],['Miroslav Bago']
1424080,roads of rome: new generation 3 collector's edition,['Qumaron'],['Qumaron']
1424120,synth swinger,['TerpySauceStudios'],['TerpySauce']
1423270,ghost stories 2,['AK Studio'],[' AK Studio']
1423280,synthwave hop,['RockSolid Studios'],['RockSolid Studios']
1423340,polygonduty,['FanaticStudios'],
1423360,swire future,['王小波'],['王小波']
1423410,zone of death,['MAD Studio'],['MAD Studio']
1423420,sublunar,['Materik AB'],['Materik AB']
1423500,darklands:awakening,['Limitcore.studio'],['Limitcore.studio']
1423540,air gun fighter,['Pix Arts'],['Pix Arts']
1423590,wardroid,['Roach Game Studio'],['Roach Game Studio']
1423670,autopanic zero,['DK Liao'],['DK Liao']
1423680,dogfighter -ww2-,"['GRUMPY', 'IBONG', 'IGGYMOB']",['IGGYMOB']
1423720,antiprism,['Zero Fun'],['Zero Fun']
1422880,frisbee for fun,['Caio Flavio'],['Caio Flavio']
1422910,agent klutz,['notagamestudio'],['notagamestudio']
1422930,aripi,['Simpals LLC'],['Simpals LLC']
1422950,worm adventure 4: into the wormhole,['Joey Cook'],['Joey Cook']
1422980,structura,['Binary Station'],['Binary Station']
1423000,neuronet: mendax proxy,['Dream Harvest'],['Dream Harvest']
1423010,zephyr,['New World Computing'],['Ziggurat']
1423030,evolution,['Technolomics'],['Technolomics']
1412500,paralyzed,['Alexander Lahti'],['C Horse Games']
1423060,wonshot,['Didactricks'],['Didactricks ']
1423090,monster collector,['go go go studio'],['go go go studio']
1423140,assimilate! (a party game),"['Friendship is Fun, LLC']","['Friendship is Fun, LLC']"
1423200,legacy - witch island 2,['Itera Laboratories'],['HH-Games']
1422380,witches x warlocks,['Nifty Visuals'],['Nifty Productions']
1422410,into the pit,['Nullpointer Games'],['Humble Games']
1422420,dodgeball academia,['Pocket Trap'],['Humble Games']
1422430,next space rebels,['Studio Floris Kaayk'],['Humble Games']
1422520,divide and conquer: the board game,"['John Fluet', 'Hans Scharler']",['Light Fun Games']
1422570,echoblade,['Sunset Arctic Games'],['Sunset Arctic Games']
1422610,aurora,['BambuseaeGames'],[' DigitalDream']
1422620,lazarus trials: trial 101,['Zeitware Studios'],['Zeitware Studios']
1422630,active neurons - wonders of the world,['Nikolai Usachev'],['USANIK STD']
1422670,son savaşçı,"[""Narut Studio's"", 'Umut Haznedar']",['Umut Haznedar']
1422730,hijacker jack : arcade fmv,['New IDEA Games'],['New IDEA Games']
1422740,diery heaven,['ThroneLab'],['ThroneLab']
1422750,aery - sky castle,['EpiXR Games UG'],['EpiXR Games UG']
1422780,gizmos: spooky adventures,['Oleg Sereda'],['Oleg Sereda']
1422790,门 the door,['织女星'],['织女星']
1422810,adventure minesweeper,['Clike'],['Clike']
1422820,hidden shelter,['White Vortex Games'],['White Vortex Games']
1421930,blind quest - the frost demon,['Associazione Audiogames'],"['IV Productions', 'Associazione Audiogames']"
1422050,uos prototype,['ultranet.org'],['ultranet.org']
1422080,oraiah,['PageBoy'],['PageBoy']
1422130,simrail - the railway simulator,['SimRail S.A.'],['PlayWay S.A.']
1422180,galactic crew ii,['Benjamin Rommel Games'],['Benjamin Rommel Games']
1422190,fuzz force: spook squad,['Fuzz Force'],['Fuzz Force']
1422200,rev,['Nostalgiatree and faxdoc games'],['Nostalgiatree and faxdoc games']
2540040,utter takedown playtest,Unknown,
1422210,throw me in the river,['Side Group'],['Side Group']
1422220,cardinal chains,['Daniel Nora'],['Daniel Nora']
1422240,sex simulator 2020,['Slippy Floor'],['Slippy Floor']
1422260,the last element: looking for tomorrow,['The Last Developer'],['The Last Developer']
1422270,rank: warmaster,"['Laser Beams & Particle Streams Software, Inc.']","['Laser Beams & Particle Streams Software, Inc.']"
1422280,torqued up legends,['Project 172'],['Project 172']
1422290,jardinains!,['Magic Chopstick Games'],['Magic Chopstick Games']
1421900,sword's soul duel,['Simplicity Game Studio'],['Simplicity Game Studio']
1421760,what comes after,"['Pikselnesia', 'Rolling Glory Jam']",['Rolling Glory Jam']
1421790,labyrinth city: pierre the maze detective,['Darjeeling'],['Pixmain']
1421310,secret of harrow manor 2,['Brandon Smith'],['Only Human Studios']
1421320,lust vessel,"[""Moccasin's Mirror""]","[""Moccasin's Mirror""]"
1421350,angstrage,['Intuition Software'],['Intuition Software']
1421390,tichu,['Wojciech Lewandowski'],['Wojciech Lewandowski']
1421410,nectar of the gods,['Ben Thomas'],['Ben Thomas']
1421490,rise of the triad: ludicrous edition,"['Nightdive Studios', 'Apogee Software', 'New Blood Interactive']","['Apogee Entertainment', 'New Blood Interactive', 'Nightdive Studios']"
1421600,safari zone,['Tiger Collins'],['Tiger Collins']
1421610,deus ex machina: episode 1,['Looksten Inc.'],['Looksten Inc.']
1421630,stars force,['Trinity Project'],['Conglomerate 5']
1421690,panmorphia,['LKMAD'],['LKMAD']
1421700,begieade ~a lyric of lie and retribution~,['Planet Pandemic'],['OTAKU Plan']
1421710,epic palace : knossos,['Milkroom Studios GmbH'],['Milkroom Studios GmbH']
1420830,happy numbers,['HappyGames'],"['HappyGames', 'Tora Creatives']"
1420850,cybertaxi,['Projects from Basement'],['Ultimate Games S.A.']
1420860,deception,['cpsoft'],['cpsoft']
1420890,va framework - build your ai,['Synthetic Intelligence Network'],['REVARN Cybernetics LLP']
1420930,movavi slideshow maker 8,['Movavi Software'],['Movavi Software']
1367110,child of abyss,['Ralph Yu'],['Ralph Yu']
1420950,spinning_kid,['Dnovel'],['Conglomerate 5']
1420960,hentai milf quiz 3,['Cyber Keks'],['Cyber Keks']
1420970,fantasy heroes 2,['Lumen'],['Aldorlea Games']
1420980,epidemic,['NULLA'],['RPK-studio']
1420990,creepy girls,['Mopp4Studios'],['Mopp4Studios']
1421020,simple fps aim trainer,['TapHazard Games'],['TapHazard Games']
1421100,binaural odyssey,"['Yle Sandbox', 'RagingRam Oy']",['Yle Sandbox']
