record_id,age,gender,occupation,years_gaming,daily_gaming_hours,genre,primary_game,gaming_platform,monthly_spend,academic_performance,gpa,work_productivity,face_to_face_social_hours_weekly,social_isolation,exercise_hours_weekly,sleep_hours,sleep_quality,sleep_disruption,eye_strain,back_neck_pain,physical_pain,weight_change_kg,mood_state,mood_swings,withdrawal_symptoms,loss_of_other_interests,continued_despite_problems,gaming_addiction_risk_level,addiction_severity,hours_bin,title,game_id
GD0012,14,Male,Student,3,3.0,Strategy,starcraft ii,PC,46.36,Excellent,3.15,,13.9,1,9.4,7.2,Good,Sometimes,False,False,False,0.3,Normal,Rarely,False,False,False,Low,0,0-3h,,N/A
GD0013,28,Male,Professional,7,9.5,Mobile Games,genshin impact,Mobile,482.71,Poor,,8.0,1.6,5,5.1,3.6,Very Poor,Never,True,True,True,2.2,Withdrawn,Rarely,True,False,False,High,1,9-12h,genshin impact,410617.0
GD0013,28,Male,Professional,7,9.5,Mobile Games,genshin impact,Mobile,482.71,Poor,,8.0,1.6,5,5.1,3.6,Very Poor,Never,True,True,True,2.2,Withdrawn,Rarely,True,False,False,High,1,9-12h,genshin impact,437991.0
GD0013,28,Male,Professional,7,9.5,Mobile Games,genshin impact,Mobile,482.71,Poor,,8.0,1.6,5,5.1,3.6,Very Poor,Never,True,True,True,2.2,Withdrawn,Rarely,True,False,False,High,1,9-12h,genshin impact,410618.0
GD0013,28,Male,Professional,7,9.5,Mobile Games,genshin impact,Mobile,482.71,Poor,,8.0,1.6,5,5.1,3.6,Very Poor,Never,True,True,True,2.2,Withdrawn,Rarely,True,False,False,High,1,9-12h,genshin impact,748280.0
GD0014,22,Male,Student,5,5.1,RPG,skyrim,Mobile,36.07,Average,3.25,6.0,6.3,3,7.6,5.3,Fair,Never,True,False,True,0.9,Anxious,Rarely,False,False,False,Low,0,3-6h,skyrim,2435.0
GD0015,21,Male,Student,2,5.8,RPG,elden ring,Console,104.01,Good,2.54,2.0,9.0,3,8.2,5.2,Good,Often,False,True,True,1.2,Restless,Rarely,False,False,False,Low,0,3-6h,elden ring,1245620.0
GD0015,21,Male,Student,2,5.8,RPG,elden ring,Console,104.01,Good,2.54,2.0,9.0,3,8.2,5.2,Good,Often,False,True,True,1.2,Restless,Rarely,False,False,False,Low,0,3-6h,elden ring,489212.0
GD0016,25,Male,Professional,7,7.3,Mobile Games,clash of clans,Console,68.25,Poor,,5.0,6.8,6,6.9,5.6,Poor,Often,True,True,True,3.3,Anxious,Never,True,True,False,High,2,6-9h,,N/A
GD0017,19,Male,Student,9,3.0,Mobile Games,genshin impact,Console,1.63,Poor,1.64,3.0,13.1,3,6.7,7.4,Fair,Sometimes,False,False,False,0.1,Normal,Never,False,False,False,Low,0,0-3h,genshin impact,410617.0
GD0017,19,Male,Student,9,3.0,Mobile Games,genshin impact,Console,1.63,Poor,1.64,3.0,13.1,3,6.7,7.4,Fair,Sometimes,False,False,False,0.1,Normal,Never,False,False,False,Low,0,0-3h,genshin impact,437991.0
GD0017,19,Male,Student,9,3.0,Mobile Games,genshin impact,Console,1.63,Poor,1.64,3.0,13.1,3,6.7,7.4,Fair,Sometimes,False,False,False,0.1,Normal,Never,False,False,False,Low,0,0-3h,genshin impact,410618.0
GD0017,19,Male,Student,9,3.0,Mobile Games,genshin impact,Console,1.63,Poor,1.64,3.0,13.1,3,6.7,7.4,Fair,Sometimes,False,False,False,0.1,Normal,Never,False,False,False,Low,0,0-3h,genshin impact,748280.0
GD0018,22,Female,Student,10,11.3,MOBA,league of legends,Multi-platform,77.24,Poor,1.89,8.0,0.9,9,4.9,4.6,Poor,Sometimes,True,True,True,5.7,Anxious,Often,True,False,False,High,1,9-12h,,N/A
GD0019,20,Male,Student,6,8.4,FPS,call of duty,Mobile,118.79,Average,2.76,2.0,8.1,7,7.1,3.2,Very Poor,Always,True,False,True,0.4,Angry,Sometimes,True,True,True,Severe,3,6-9h,,N/A
GD0020,20,Male,Student,1,9.4,Battle Royale,warzone,Console,120.16,Below Average,2.14,7.0,2.2,7,4.8,5.5,Poor,Sometimes,False,True,True,1.7,Anxious,Rarely,True,True,False,Severe,2,9-12h,warzone,712230.0
GD0020,20,Male,Student,1,9.4,Battle Royale,warzone,Console,120.16,Below Average,2.14,7.0,2.2,7,4.8,5.5,Poor,Sometimes,False,True,True,1.7,Anxious,Rarely,True,True,False,Severe,2,9-12h,warzone,2298160.0
GD0021,22,Male,Student,12,6.5,RPG,cyberpunk 2077,Console,16.99,Below Average,2.91,3.0,9.1,6,6.4,4.4,Poor,Always,True,False,True,3.4,Normal,Never,False,True,False,Moderate,1,6-9h,cyberpunk 2077,1091500.0
GD0021,22,Male,Student,12,6.5,RPG,cyberpunk 2077,Console,16.99,Below Average,2.91,3.0,9.1,6,6.4,4.4,Poor,Always,True,False,True,3.4,Normal,Never,False,True,False,Moderate,1,6-9h,cyberpunk 2077,487113.0
GD0021,22,Male,Student,12,6.5,RPG,cyberpunk 2077,Console,16.99,Below Average,2.91,3.0,9.1,6,6.4,4.4,Poor,Always,True,False,True,3.4,Normal,Never,False,True,False,Moderate,1,6-9h,cyberpunk 2077,421702.0
GD0021,22,Male,Student,12,6.5,RPG,cyberpunk 2077,Console,16.99,Below Average,2.91,3.0,9.1,6,6.4,4.4,Poor,Always,True,False,True,3.4,Normal,Never,False,True,False,Moderate,1,6-9h,cyberpunk 2077,421362.0
GD0022,16,Female,Student,4,6.1,MOBA,league of legends,Console,53.52,Good,1.12,,9.3,1,5.8,5.3,Fair,Sometimes,False,True,True,1.8,Anxious,Often,False,True,False,Moderate,1,3-6h,,N/A
GD0023,14,Female,Student,4,6.3,RPG,skyrim,Mobile,126.54,Average,3.27,,4.8,4,7.5,6.5,Good,Rarely,True,False,True,0.2,Anxious,Never,False,True,False,Moderate,1,3-6h,skyrim,2435.0
GD0024,19,Female,Student,6,8.9,Battle Royale,pubg,Console,66.37,Average,2.63,8.0,5.2,5,5.7,5.7,Very Poor,Never,True,True,True,1.9,Irritable,Rarely,True,False,False,High,1,6-9h,,N/A
GD0025,22,Male,Student,11,5.2,Mobile Games,candy crush,PC,60.06,Good,1.94,1.0,11.2,2,6.2,7.0,Fair,Rarely,False,False,False,1.7,Depressed,Rarely,False,False,False,Low,0,3-6h,,N/A
GD0026,22,Male,Student,9,3.4,Mobile Games,candy crush,Console,37.26,Average,3.41,9.0,10.3,3,7.8,8.7,Good,Always,False,False,False,1.1,Normal,Sometimes,False,False,False,Low,0,0-3h,,N/A
GD0027,18,Male,Student,7,5.9,Battle Royale,apex legends,Multi-platform,55.47,Below Average,3.91,,6.8,3,8.0,6.6,Fair,Always,True,True,True,0.9,Anxious,Often,False,False,False,Low,0,3-6h,apex legends,176538.0
GD0027,18,Male,Student,7,5.9,Battle Royale,apex legends,Multi-platform,55.47,Below Average,3.91,,6.8,3,8.0,6.6,Fair,Always,True,True,True,0.9,Anxious,Often,False,False,False,Low,0,3-6h,apex legends,495480.0
GD0027,18,Male,Student,7,5.9,Battle Royale,apex legends,Multi-platform,55.47,Below Average,3.91,,6.8,3,8.0,6.6,Fair,Always,True,True,True,0.9,Anxious,Often,False,False,False,Low,0,3-6h,apex legends,176537.0
GD0028,18,Male,Student,8,8.2,MMO,final fantasy xiv online,Mobile,57.15,Poor,3.71,,3.3,5,6.5,5.4,Fair,Always,True,True,True,3.2,Anxious,Rarely,False,True,False,Moderate,1,6-9h,final fantasy xiv online,39210.0
GD0029,21,Male,Student,6,1.2,MMO,world of warcraft,Mobile,34.91,Good,2.31,9.0,16.7,2,8.6,7.1,Good,Always,False,False,False,0.2,Depressed,Sometimes,False,False,False,Low,0,0-3h,,N/A
GD0030,19,Female,Student,8,4.7,RPG,skyrim,Multi-platform,126.85,Average,1.62,4.0,10.0,3,5.6,5.8,Fair,Rarely,True,False,True,0.5,Irritable,Sometimes,False,False,False,Low,0,3-6h,skyrim,2435.0
GD0031,20,Male,Student,6,1.0,RPG,cyberpunk 2077,Mobile,21.09,Average,1.21,5.0,14.4,1,8.9,7.3,Good,Sometimes,False,False,False,0.0,Normal,Never,False,False,False,Low,0,0-3h,cyberpunk 2077,1091500.0
GD0031,20,Male,Student,6,1.0,RPG,cyberpunk 2077,Mobile,21.09,Average,1.21,5.0,14.4,1,8.9,7.3,Good,Sometimes,False,False,False,0.0,Normal,Never,False,False,False,Low,0,0-3h,cyberpunk 2077,487113.0
GD0031,20,Male,Student,6,1.0,RPG,cyberpunk 2077,Mobile,21.09,Average,1.21,5.0,14.4,1,8.9,7.3,Good,Sometimes,False,False,False,0.0,Normal,Never,False,False,False,Low,0,0-3h,cyberpunk 2077,421702.0
GD0031,20,Male,Student,6,1.0,RPG,cyberpunk 2077,Mobile,21.09,Average,1.21,5.0,14.4,1,8.9,7.3,Good,Sometimes,False,False,False,0.0,Normal,Never,False,False,False,Low,0,0-3h,cyberpunk 2077,421362.0
GD0032,17,Male,Student,5,5.1,Mobile Games,clash of clans,Mobile,36.53,Average,3.02,,8.3,2,8.9,6.4,Poor,Always,False,False,False,2.2,Restless,Often,False,False,False,Low,0,3-6h,,N/A
GD0033,20,Male,Student,7,5.9,MMO,final fantasy xiv online,Console,147.6,Poor,3.39,6.0,7.1,3,7.5,6.8,Fair,Rarely,False,True,True,0.3,Anxious,Never,False,False,False,Low,0,3-6h,final fantasy xiv online,39210.0
GD0034,20,Male,Student,7,5.2,Battle Royale,pubg,Console,19.91,Average,3.03,8.0,8.7,5,7.9,5.6,Very Poor,Often,True,False,True,1.4,Angry,Rarely,False,False,False,Low,0,3-6h,,N/A
GD0035,18,Male,Student,2,6.6,FPS,counter-strike: global offensive,Console,93.68,Poor,3.98,,8.4,5,5.5,4.1,Insomnia,Often,False,False,False,0.1,Anxious,Sometimes,True,True,False,High,2,6-9h,counter-strike: global offensive,3468.0
GD0036,22,Female,Student,12,4.6,Mobile Games,pubg mobile,PC,80.92,Average,1.15,6.0,8.3,4,8.4,5.4,Poor,Never,True,False,True,1.6,Angry,Sometimes,False,False,False,Low,0,3-6h,,N/A
GD0037,20,Male,Student,9,2.8,MOBA,mobile legends,Mobile,45.96,Excellent,3.54,9.0,14.3,3,8.3,8.3,Fair,Never,False,False,False,0.3,Excited,Never,False,False,False,Low,0,0-3h,,N/A
GD0038,20,Male,Student,2,7.6,Strategy,starcraft ii,Mobile,123.45,Poor,2.7,9.0,2.6,6,5.2,4.2,Very Poor,Never,True,True,True,3.6,Restless,Never,False,True,False,Moderate,1,6-9h,,N/A
GD0039,16,Female,Student,4,2.3,MOBA,league of legends,Mobile,42.43,Average,1.22,,12.3,2,7.2,8.4,Good,Often,False,False,False,0.8,Anxious,Daily,False,False,False,Low,0,0-3h,,N/A
GD0040,20,Male,Student,2,4.4,RPG,elden ring,Mobile,26.63,Excellent,1.38,2.0,8.5,4,9.1,6.4,Fair,Often,False,False,False,0.2,Restless,Rarely,False,False,False,Low,0,3-6h,elden ring,1245620.0
GD0040,20,Male,Student,2,4.4,RPG,elden ring,Mobile,26.63,Excellent,1.38,2.0,8.5,4,9.1,6.4,Fair,Often,False,False,False,0.2,Restless,Rarely,False,False,False,Low,0,3-6h,elden ring,489212.0
GD0041,33,Male,Professional,6,3.1,MMO,elder scrolls online,Multi-platform,47.69,Average,,8.0,12.8,1,8.3,8.4,Fair,Never,False,False,False,1.3,Normal,Rarely,False,False,False,Low,0,0-3h,,N/A
GD0042,16,Male,Student,1,8.0,FPS,valorant,Mobile,61.37,Failing,3.22,,6.3,8,6.0,3.8,Poor,Sometimes,True,True,True,0.9,Irritable,Sometimes,True,True,True,Severe,3,6-9h,valorant,682668.0
GD0042,16,Male,Student,1,8.0,FPS,valorant,Mobile,61.37,Failing,3.22,,6.3,8,6.0,3.8,Poor,Sometimes,True,True,True,0.9,Irritable,Sometimes,True,True,True,Severe,3,6-9h,valorant,682740.0
GD0043,20,Male,Student,1,4.2,Strategy,starcraft ii,Mobile,9.18,Average,2.21,7.0,8.8,1,7.1,5.4,Good,Sometimes,False,False,False,0.1,Normal,Often,False,False,False,Low,0,3-6h,,N/A
GD0044,20,Male,Student,4,7.9,Battle Royale,pubg,Console,81.23,Below Average,2.25,3.0,4.2,6,7.0,3.5,Poor,Never,False,True,True,3.3,Angry,Rarely,True,False,True,High,2,6-9h,,N/A
GD0045,14,Female,Student,3,3.9,Mobile Games,pubg mobile,Mobile,17.43,Good,2.88,,7.5,2,7.8,5.1,Poor,Sometimes,False,False,False,1.2,Euphoric,Rarely,False,False,False,Low,0,3-6h,,N/A
GD0046,26,Female,Professional,8,6.2,Strategy,age of empires,Multi-platform,48.84,Average,,5.0,4.9,3,5.5,5.7,Fair,Never,True,True,True,0.4,Depressed,Daily,False,True,False,Moderate,1,3-6h,,N/A
GD0047,20,Male,Student,8,3.4,MMO,final fantasy xiv online,PC,23.33,Below Average,1.19,7.0,12.9,1,7.8,7.1,Poor,Sometimes,False,False,False,1.3,Normal,Sometimes,False,False,False,Low,0,0-3h,final fantasy xiv online,39210.0
GD0048,29,Female,Professional,14,6.1,FPS,call of duty,Mobile,110.74,Good,,5.0,10.7,2,7.7,6.7,Poor,Often,True,True,True,0.8,Restless,Daily,False,True,False,Moderate,1,3-6h,,N/A
GD0049,16,Female,Student,2,5.9,RPG,skyrim,Console,125.89,Average,2.11,,7.6,3,6.0,5.4,Fair,Often,False,False,False,0.7,Depressed,Never,False,False,False,Low,0,3-6h,skyrim,2435.0
GD0050,15,Female,Student,1,5.1,MMO,world of warcraft,PC,39.9,Below Average,3.87,,8.8,2,6.2,6.5,Poor,Never,False,False,False,0.6,Angry,Sometimes,False,False,False,Low,0,3-6h,,N/A
GD0051,24,Male,Professional,1,7.0,Strategy,age of empires,Console,132.68,Poor,,5.0,8.8,4,8.0,4.7,Very Poor,Sometimes,False,False,False,0.5,Angry,Often,True,False,False,Moderate,1,6-9h,,N/A
GD0052,20,Male,Student,4,3.5,RPG,skyrim,Mobile,40.35,Good,1.39,3.0,10.7,2,9.8,7.8,Good,Never,False,False,False,1.3,Normal,Rarely,False,False,False,Low,0,3-6h,skyrim,2435.0
GD0053,20,Male,Student,9,11.4,FPS,call of duty,Console,433.8,Failing,2.02,5.0,0.2,6,5.0,4.3,Very Poor,Never,True,True,True,0.3,Anxious,Never,True,False,False,High,1,9-12h,,N/A
GD0054,20,Female,Student,5,0.5,Mobile Games,genshin impact,Multi-platform,9.04,Excellent,3.39,4.0,13.9,1,10.0,7.2,Good,Sometimes,False,False,False,0.1,Depressed,Rarely,False,False,False,Low,0,0-3h,genshin impact,410617.0
GD0054,20,Female,Student,5,0.5,Mobile Games,genshin impact,Multi-platform,9.04,Excellent,3.39,4.0,13.9,1,10.0,7.2,Good,Sometimes,False,False,False,0.1,Depressed,Rarely,False,False,False,Low,0,0-3h,genshin impact,437991.0
GD0054,20,Female,Student,5,0.5,Mobile Games,genshin impact,Multi-platform,9.04,Excellent,3.39,4.0,13.9,1,10.0,7.2,Good,Sometimes,False,False,False,0.1,Depressed,Rarely,False,False,False,Low,0,0-3h,genshin impact,410618.0
GD0054,20,Female,Student,5,0.5,Mobile Games,genshin impact,Multi-platform,9.04,Excellent,3.39,4.0,13.9,1,10.0,7.2,Good,Sometimes,False,False,False,0.1,Depressed,Rarely,False,False,False,Low,0,0-3h,genshin impact,748280.0
GD0055,22,Female,Student,5,5.8,FPS,counter-strike: global offensive,PC,114.52,Average,2.3,3.0,10.5,3,6.4,6.7,Good,Rarely,True,False,True,1.3,Euphoric,Sometimes,False,False,False,Low,0,3-6h,counter-strike: global offensive,3468.0
GD0056,19,Male,Student,5,1.7,MOBA,mobile legends,Mobile,47.53,Excellent,1.41,9.0,12.6,1,9.3,8.1,Good,Sometimes,False,False,False,0.0,Normal,Daily,False,False,False,Low,0,0-3h,,N/A
GD0057,24,Male,Professional,3,6.0,Strategy,starcraft ii,Console,133.31,Good,,10.0,9.3,4,8.2,6.9,Good,Always,False,True,True,0.1,Euphoric,Sometimes,False,True,False,Moderate,1,3-6h,,N/A
GD0058,25,Male,Professional,8,7.1,RPG,elden ring,Console,136.21,Average,,1.0,6.6,4,7.2,5.2,Poor,Sometimes,False,True,True,4.3,Anxious,Sometimes,True,False,False,Moderate,1,6-9h,elden ring,1245620.0
GD0058,25,Male,Professional,8,7.1,RPG,elden ring,Console,136.21,Average,,1.0,6.6,4,7.2,5.2,Poor,Sometimes,False,True,True,4.3,Anxious,Sometimes,True,False,False,Moderate,1,6-9h,elden ring,489212.0
GD0059,23,Male,Professional,10,0.6,Battle Royale,warzone,Mobile,39.51,Good,,4.0,11.1,1,8.8,7.2,Good,Rarely,False,False,False,0.0,Excited,Sometimes,False,False,False,Low,0,0-3h,warzone,712230.0
GD0059,23,Male,Professional,10,0.6,Battle Royale,warzone,Mobile,39.51,Good,,4.0,11.1,1,8.8,7.2,Good,Rarely,False,False,False,0.0,Excited,Sometimes,False,False,False,Low,0,0-3h,warzone,2298160.0
GD0060,33,Female,Professional,8,7.2,Mobile Games,pubg mobile,Multi-platform,96.57,Below Average,,9.0,9.0,5,7.6,4.2,Fair,Rarely,True,True,True,0.7,Anxious,Often,False,False,False,Low,0,6-9h,,N/A
GD0061,22,Female,Student,10,5.6,FPS,call of duty,Console,144.26,Average,2.08,4.0,9.7,3,7.7,5.3,Good,Never,False,True,True,0.7,Normal,Sometimes,False,True,False,Moderate,1,3-6h,,N/A
GD0062,13,Male,Student,3,8.9,RPG,cyberpunk 2077,Mobile,417.13,Below Average,3.91,,2.3,5,3.6,4.2,Very Poor,Sometimes,True,True,True,2.1,Restless,Never,True,True,False,Severe,2,6-9h,cyberpunk 2077,1091500.0
GD0062,13,Male,Student,3,8.9,RPG,cyberpunk 2077,Mobile,417.13,Below Average,3.91,,2.3,5,3.6,4.2,Very Poor,Sometimes,True,True,True,2.1,Restless,Never,True,True,False,Severe,2,6-9h,cyberpunk 2077,487113.0
GD0062,13,Male,Student,3,8.9,RPG,cyberpunk 2077,Mobile,417.13,Below Average,3.91,,2.3,5,3.6,4.2,Very Poor,Sometimes,True,True,True,2.1,Restless,Never,True,True,False,Severe,2,6-9h,cyberpunk 2077,421702.0
GD0062,13,Male,Student,3,8.9,RPG,cyberpunk 2077,Mobile,417.13,Below Average,3.91,,2.3,5,3.6,4.2,Very Poor,Sometimes,True,True,True,2.1,Restless,Never,True,True,False,Severe,2,6-9h,cyberpunk 2077,421362.0
GD0063,16,Other,Student,6,12.4,MOBA,mobile legends,PC,359.05,Below Average,2.0,,0.6,7,4.3,4.7,Insomnia,Often,True,True,True,0.2,Irritable,Daily,True,False,False,High,1,12h+,,N/A
GD0064,19,Female,Student,9,6.6,FPS,valorant,Mobile,144.41,Below Average,3.09,10.0,9.5,4,8.0,3.3,Very Poor,Often,True,True,True,2.3,Irritable,Sometimes,True,True,False,High,2,6-9h,valorant,682668.0
GD0064,19,Female,Student,9,6.6,FPS,valorant,Mobile,144.41,Below Average,3.09,10.0,9.5,4,8.0,3.3,Very Poor,Often,True,True,True,2.3,Irritable,Sometimes,True,True,False,High,2,6-9h,valorant,682740.0
GD0065,26,Female,Professional,10,4.9,Strategy,starcraft ii,Mobile,60.06,Poor,,5.0,9.5,3,8.8,5.7,Fair,Often,True,False,True,1.2,Irritable,Rarely,False,False,False,Low,0,3-6h,,N/A
GD0066,18,Male,Student,5,4.4,Mobile Games,candy crush,PC,45.33,Below Average,1.4,,11.3,1,8.3,6.6,Poor,Often,False,False,False,0.0,Normal,Daily,False,False,False,Low,0,3-6h,,N/A
GD0067,23,Female,Professional,8,4.7,RPG,skyrim,Multi-platform,108.0,Average,,8.0,10.7,4,7.0,5.1,Good,Sometimes,True,False,True,1.2,Angry,Never,False,False,False,Low,0,3-6h,skyrim,2435.0
GD0068,22,Male,Student,4,7.0,MMO,elder scrolls online,Multi-platform,119.22,Poor,3.54,2.0,5.3,5,5.8,4.0,Very Poor,Sometimes,True,True,True,1.0,Irritable,Daily,True,False,False,Moderate,1,6-9h,,N/A
GD0069,20,Female,Student,8,6.2,Mobile Games,genshin impact,Console,42.1,Average,3.51,2.0,9.6,5,6.7,5.8,Very Poor,Never,True,True,True,3.3,Irritable,Rarely,False,True,False,Moderate,1,3-6h,genshin impact,410617.0
GD0069,20,Female,Student,8,6.2,Mobile Games,genshin impact,Console,42.1,Average,3.51,2.0,9.6,5,6.7,5.8,Very Poor,Never,True,True,True,3.3,Irritable,Rarely,False,True,False,Moderate,1,3-6h,genshin impact,437991.0
GD0069,20,Female,Student,8,6.2,Mobile Games,genshin impact,Console,42.1,Average,3.51,2.0,9.6,5,6.7,5.8,Very Poor,Never,True,True,True,3.3,Irritable,Rarely,False,True,False,Moderate,1,3-6h,genshin impact,410618.0
GD0069,20,Female,Student,8,6.2,Mobile Games,genshin impact,Console,42.1,Average,3.51,2.0,9.6,5,6.7,5.8,Very Poor,Never,True,True,True,3.3,Irritable,Rarely,False,True,False,Moderate,1,3-6h,genshin impact,748280.0
GD0070,18,Female,Student,6,15.1,MMO,world of warcraft,PC,209.75,Below Average,3.05,,0.0,10,4.2,4.8,Fair,Often,True,True,True,0.0,Restless,Often,True,False,False,High,1,12h+,,N/A
GD0071,25,Male,Professional,11,4.8,MMO,elder scrolls online,Multi-platform,132.26,Average,,7.0,10.0,2,5.8,6.8,Fair,Never,False,False,False,1.6,Euphoric,Never,False,False,False,Low,0,3-6h,,N/A
GD0072,23,Male,Professional,3,2.6,Mobile Games,clash of clans,Console,7.76,Good,,5.0,11.2,1,8.9,8.8,Fair,Never,False,False,False,0.4,Excited,Sometimes,False,False,False,Low,0,0-3h,,N/A
GD0073,17,Female,Student,1,4.0,Mobile Games,genshin impact,Multi-platform,18.88,Good,3.1,,7.4,2,6.3,5.8,Fair,Sometimes,False,False,False,3.3,Angry,Sometimes,False,False,False,Low,0,3-6h,genshin impact,410617.0
GD0073,17,Female,Student,1,4.0,Mobile Games,genshin impact,Multi-platform,18.88,Good,3.1,,7.4,2,6.3,5.8,Fair,Sometimes,False,False,False,3.3,Angry,Sometimes,False,False,False,Low,0,3-6h,genshin impact,437991.0
GD0073,17,Female,Student,1,4.0,Mobile Games,genshin impact,Multi-platform,18.88,Good,3.1,,7.4,2,6.3,5.8,Fair,Sometimes,False,False,False,3.3,Angry,Sometimes,False,False,False,Low,0,3-6h,genshin impact,410618.0
GD0073,17,Female,Student,1,4.0,Mobile Games,genshin impact,Multi-platform,18.88,Good,3.1,,7.4,2,6.3,5.8,Fair,Sometimes,False,False,False,3.3,Angry,Sometimes,False,False,False,Low,0,3-6h,genshin impact,748280.0
GD0074,20,Male,Student,8,5.0,MMO,final fantasy xiv online,Console,85.67,Excellent,1.55,9.0,6.8,4,7.7,6.9,Poor,Sometimes,False,False,False,0.9,Normal,Never,False,False,False,Low,0,3-6h,final fantasy xiv online,39210.0
GD0075,19,Male,Student,3,3.5,Battle Royale,pubg,Multi-platform,39.95,Average,1.87,4.0,11.4,2,6.7,8.0,Good,Often,False,False,False,0.4,Excited,Rarely,False,False,False,Low,0,3-6h,,N/A
GD0076,33,Male,Professional,8,5.2,Battle Royale,apex legends,Multi-platform,73.02,Good,,3.0,6.9,6,9.0,6.9,Fair,Often,True,False,True,2.0,Euphoric,Daily,False,False,False,Low,0,3-6h,apex legends,176538.0
GD0076,33,Male,Professional,8,5.2,Battle Royale,apex legends,Multi-platform,73.02,Good,,3.0,6.9,6,9.0,6.9,Fair,Often,True,False,True,2.0,Euphoric,Daily,False,False,False,Low,0,3-6h,apex legends,495480.0
