game_id,gaming_platform,title,genres
1431240,Pc,Coloring Book for Adults,"['Casual', 'Free To Play']"
1431270,Pc,Arcana Sands of Destiny,"['Adventure', 'Casual', 'Indie']"
1431290,Pc,Sam & Max: This Time It's Virtual!,"['Adventure', 'Indie']"
1431350,Pc,Santa Claus in Trouble (HD),"['Action', 'Casual']"
1431370,Pc,ThrustWorks,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']"
1431380,Pc,Mage World - The Wizard's Stone,"['Action', 'Adventure', 'Casual', 'Indie', 'Early Access']"
1431420,Pc,10mg: Cover Me In Leaves,['Indie']
1431430,Pc,Tiny Island,"['Adventure', 'Casual', 'Indie', 'Simulation']"
1431450,Pc,Do I smell Pizza?,"['Casual', 'Indie', 'Strategy']"
1431470,Pc,Mythos Ever After: A Cthulhu Dating Sim,"['Adventure', 'Indie']"
2224990,Pc,Sweetlads' Werewolf Playtest,
3048880,Pc,Trouble of Tabu Playtest,
1430720,Pc,Clash of Warlords,['Strategy']
1430740,Pc,Mine Crazy: The Korean Grinder,"['Casual', 'Indie', 'RPG', 'Simulation']"
1430810,Pc,World of Wonder,"['Action', 'Adventure']"
1430820,Pc,Monstermonger,"['Casual', 'Indie', 'Strategy', 'Early Access']"
1430970,Pc,Astatos,"['Adventure', 'Indie', 'Strategy', 'Early Access']"
1430980,Pc,Space Love Delta,"['Casual', 'Indie', 'Simulation']"
1431020,Pc,Blurple Food Wars,"['Action', 'Casual', 'Indie']"
1431040,Pc,Golazo! Soccer League,"['Casual', 'Sports']"
1431100,Pc,RollerBaller,"['Action', 'Casual', 'Racing']"
1430200,Pc,Space Empires III,['Strategy']
1430240,Pc,The Space in Between,"['Adventure', 'Casual', 'Free To Play', 'Indie']"
1430280,Pc,Angry Emoji The Game,"['Action', 'Casual', 'Indie', 'Early Access']"
1430310,Pc,NetGunner,"['Action', 'Free To Play']"
1430320,Pc,Boom Face,"['Action', 'Indie']"
1430340,Pc,Vocal Space Shooter,"['Casual', 'Indie']"
1430420,Pc,CBT With Yuuka Kazami,['Casual']
1430640,Pc,Into The Haze,"['Action', 'Adventure', 'Indie', 'Early Access']"
1430680,Pc,Clash: Artifacts of Chaos,"['Action', 'Adventure', 'Indie']"
1430690,Pc,Stay Safe 2020,"['Adventure', 'Free To Play', 'Indie', 'RPG']"
1429780,Pc,Marble Maid,['Adventure']
1429820,Pc,Neko Nyaa~,"['Casual', 'Indie', 'Simulation']"
1429870,Pc,Vectro Blast,"['Action', 'Indie']"
1429890,Pc,Singularity,"['Casual', 'Simulation']"
1429950,Pc,Apotheker,"['Casual', 'Indie']"
1430010,Pc,迷途,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Early Access']"
1430030,Pc,THE MONSTER OF MEMORY:DESTINY,"['Adventure', 'Casual']"
1430040,Pc,Jump Again!,"['Action', 'Adventure', 'Indie']"
1430070,Pc,Too Different,"['Adventure', 'Casual', 'Indie', 'RPG']"
1430100,Pc,Fade,"['Indie', 'RPG']"
1428880,Pc,CONSORTIUM VR,"['Adventure', 'RPG', 'Simulation']"
1424720,Pc,墨心：波云诡船,"['Adventure', 'Indie']"
1430120,Pc,Moving Letters,"['Casual', 'Indie']"
1430140,Pc,Space Empires II,['Strategy']
1430160,Pc,LineArt Jigsaw Puzzle - Erotica,"['Casual', 'Indie']"
1430180,Pc,Musical Balls,"['Casual', 'Indie']"
1429350,Pc,MH-Zombie,"['Action', 'Casual', 'Simulation']"
1429400,Pc,Mousebound,"['Adventure', 'Casual', 'Indie', 'Early Access']"
1429480,Pc,HoneyLand,"['Casual', 'Indie', 'Strategy']"
1429500,Pc,Frontier Hunter: Erza’s Wheel of Fortune,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
1429530,Pc,Azlan: Rise of the Burlpups,['Strategy']
1429610,Pc,~府城少女~ 以妳為名的府城情書,"['Indie', 'RPG', 'Simulation']"
1429630,Pc,The King of Warriors : Battle in the Three Kingdoms,"['Action', 'Indie']"
1429640,Pc,HINGE VR,"['Action', 'Adventure', 'RPG']"
1429670,Pc,Dungeon Lord,"['Adventure', 'Casual', 'Indie']"
1429680,Pc,Space Plane,['Indie']
1429700,Pc,ARCADEON VR,"['Action', 'Casual', 'Indie']"
1429730,Pc,Project Mirror,"['Action', 'Indie']"
1429740,Pc,Raji: Prologue,"['Action', 'Adventure', 'Indie', 'Free To Play']"
1428780,Pc,Animal Rescuer,"['Action', 'Adventure', 'Indie', 'RPG']"
1428790,Pc,MADHACK,"['Adventure', 'Casual', 'Indie', 'Strategy']"
1428820,Pc,Wordle 3,"['Casual', 'Indie', 'Simulation', 'Sports']"
1428840,Pc,10mg: SNAAAK,"['Action', 'Adventure', 'Indie']"
1428870,Pc,Grapple,"['Action', 'Casual', 'Indie', 'Racing', 'Strategy', 'Free To Play']"
1428900,Pc,Tadpole Tales,"['Action', 'Adventure', 'Casual', 'Free To Play', 'Indie']"
1428970,Pc,Where the Snow Settles,"['Adventure', 'Casual', 'Indie']"
1428980,Pc,The Count of Monte Carlo,['RPG']
1429040,Pc,Kaputte Kranz Chap1,"['Adventure', 'Casual', 'Indie', 'RPG']"
1429100,Pc,Siren Head: The Siren's Forest,['Indie']
1429130,Pc,Disquiet Fields,['Adventure']
1429160,Pc,Prairie survival,"['Action', 'Adventure', 'Indie', 'RPG']"
1429210,Pc,Gelldonia,"['Action', 'Indie', 'RPG', 'Early Access']"
1429260,Pc,Robot Rogue,"['Indie', 'RPG', 'Strategy']"
1428270,Pc,Good puzzle: Animals,"['Casual', 'Indie']"
1428290,Pc,Anime - Match The Memory,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
1428300,Pc,ChronoDojo,"['Action', 'Casual', 'Indie', 'Strategy']"
1428310,Pc,The Test: Final Revelation,"['RPG', 'Simulation']"
1428360,Pc,Too Much Water,"['Adventure', 'Indie', 'Simulation', 'Early Access']"
1428420,Pc,Nucleares,"['Indie', 'Simulation']"
1428440,Pc,Change the World,"['Adventure', 'Casual', 'Indie']"
1428460,Pc,BISQUE DOLL,"['Adventure', 'Indie']"
1428470,Pc,Stowaway,"['Action', 'Adventure', 'Casual', 'Indie', 'Strategy', 'Early Access']"
1428480,Pc,Adventures of Bruce,"['Casual', 'Early Access']"
1428520,Pc,Mech Engineer,"['Indie', 'Simulation', 'Strategy']"
1428530,Pc,BLR80,"['Action', 'Indie']"
1428550,Pc,One Night with CLARA,"['Casual', 'Indie']"
1428560,Pc,Life with Mary,"['Adventure', 'Casual', 'Indie']"
1428570,Pc,Godland : The Fire Quest,['Indie']
1428580,Pc,Quiet Valley,"['Action', 'Adventure', 'Indie']"
1428610,Pc,Animal Rescuer: Prologue,"['Action', 'Adventure', 'Free To Play', 'Indie', 'RPG']"
1428630,Pc,Diamond hunt,"['Action', 'Indie']"
1428650,Pc,Gladiators Tale,"['Action', 'Indie', 'RPG']"
1428150,Pc,SAVAGE,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']"
1428160,Pc,Nosferatu's Butler,"['Adventure', 'RPG']"
1428180,Pc,DEATH BOX,"['Adventure', 'Casual', 'Indie']"
1427540,Pc,Attack from Planet Smiley,['Indie']
3099340,Pc,Cathy Et Les Autres Playtest,
1428680,Pc,Abiko The Miko 2,"['Action', 'Adventure', 'Casual', 'Indie']"
1428700,Pc,Under The Hood,['Casual']
1428710,Pc,The Tarnishing of Juxtia,"['Action', 'Indie', 'RPG']"
1428730,Pc,BRoS - Battle Royale of Survival,"['Action', 'Early Access']"
1428770,Pc,Kingdom Gun,"['Action', 'Adventure', 'Indie']"
1427800,Pc,Mutant Ops,"['Action', 'Indie']"
1427860,Pc,Paradise Lust,"['Adventure', 'Indie']"
1427880,Pc,Beat Me! - Puppetonia Tournament,"['Action', 'Casual', 'Free To Play', 'Indie']"
1427890,Pc,Blaston,"['Action', 'Indie', 'Strategy']"
1427900,Pc,1001 Jigsaw World Tour Africa,['Casual']
1427910,Pc,Gem Legends,['Casual']
1427920,Pc,Griddlers TED and PET,['Casual']
1427930,Pc,Fairytale Mosaics Cinderella,['Casual']
1427940,Pc,Pirate Jigsaw,['Casual']
1427950,Pc,Solitaire Halloween Story,['Casual']
1427960,Pc,Jigsaw Boom,['Casual']
1427970,Pc,Asian Riddles 3,['Casual']
1427980,Pc,Strike Solitaire 3,['Casual']
1427990,Pc,Jigsaw Tour,['Casual']
1428030,Pc,Prince Of Wallachia,"['Action', 'Adventure', 'Indie']"
1428040,Pc,Gizmos: Spirit Of The Christmas,"['Casual', 'Indie', 'Strategy']"
1428060,Pc,Aquamariner,"['Casual', 'Indie', 'Simulation']"
1428080,Pc,House with Puzzles,['Adventure']
1428100,Pc,Instruments of Destruction,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']"
1428130,Pc,DARK MAGIC,"['Action', 'Adventure', 'Casual', 'Indie']"
1427570,Pc,Pepe's Revenge,"['Action', 'Early Access']"
3083840,Pc,Popcorn! Playtest,
1691580,Pc,Batora: Lost Haven Playtest,
1427620,Pc,Caapora Adventure - Ojibe's Revenge,"['Action', 'Adventure', 'Indie', 'RPG']"
1427640,Pc,All-Time Battle,"['Action', 'Free To Play', 'Indie', 'Massively Multiplayer', 'Early Access']"
1427680,Pc,Magia X,['Action']
1427700,Pc,Realm Engine | Virtual Tabletop,"['Adventure', 'Indie', 'RPG', 'Simulation', 'Early Access']"
1427710,Pc,EmptyBottle,['Indie']
1427030,Pc,Inukari - Chase of Deception,"['Action', 'Indie']"
1427100,Pc,Eat fish 3D,"['Adventure', 'Casual', 'Indie', 'Simulation']"
1427120,Pc,Consequence,"['Adventure', 'Indie']"
1427130,Pc,Elusive World,"['Action', 'Adventure', 'Indie', 'RPG']"
1427140,Pc,Among School Girls,"['Adventure', 'Casual', 'Indie']"
1427150,Pc,The Episodic,"['Action', 'Adventure', 'Indie']"
1427210,Pc,From the Shadows,"['Action', 'Adventure', 'Casual', 'Free To Play', 'Indie']"
1427290,Pc,Jiguland,"['Adventure', 'RPG']"
1427300,Pc,Detours,"['Adventure', 'Indie']"
1427320,Pc,Decamped,"['Adventure', 'Indie']"
1427400,Pc,Sky Journey - Jigsaw Landscapes,"['Adventure', 'Casual', 'Indie']"
1427420,Pc,Bloodland,"['Action', 'Free To Play', 'Strategy', 'Early Access']"
1427450,Pc,Dino Drink,"['Adventure', 'Casual', 'Indie', 'Racing', 'Strategy']"
1427480,Pc,Miner Ultra Rag Smash,"['Action', 'Casual', 'Indie', 'Sports']"
1426530,Pc,Sid Classic,"['Adventure', 'Casual', 'RPG', 'Simulation', 'Strategy']"
1426540,Pc,Angry Cat,"['Action', 'Casual']"
1426560,Pc,Ghost Opera House 剧院魅影,"['Action', 'Indie', 'RPG', 'Simulation', 'Strategy']"
1426570,Pc,Space Station 51,"['Adventure', 'Indie', 'RPG']"
1426740,Pc,Aveliana,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
1426890,Pc,Jewel Match Solitaire Collector's Edition,"['Casual', 'Indie']"
1426900,Pc,Dread Nautical,"['Indie', 'RPG']"
1426950,Pc,Heart of Dungeon,"['Casual', 'Indie', 'RPG']"
1425770,Pc,再苟一步 One More Step,"['Adventure', 'Casual', 'Indie', 'Strategy', 'Early Access']"
1425790,Pc,刺沙,"['Casual', 'Free To Play', 'Massively Multiplayer', 'RPG']"
1426980,Pc,Hidden Memory - Nature,"['Casual', 'Indie']"
1426990,Pc,Anime - Space Sniper,"['Action', 'Adventure', 'Casual', 'Indie', 'Sports']"
1426090,Pc,My Yandere Sister loves me too much!,['Casual']
1426100,Pc,BoingBoingOuch,['Indie']
1426110,Pc,Love n Dream: Virtual Happiness,"['Casual', 'Indie']"
1426120,Pc,Re:DESTINY,"['Adventure', 'Casual', 'Indie', 'RPG']"
1426130,Pc,MAYOR MADNESS,"['Action', 'Adventure', 'Casual', 'Strategy']"
1426160,Pc,The Den of Worms,"['Adventure', 'Indie', 'RPG']"
1426190,Pc,Bloody Horde,"['Action', 'Indie', 'Early Access']"
1426230,Pc,It's Not About The End,"['Adventure', 'Indie']"
1426280,Pc,Hello Puppets! VR,['Adventure']
1426310,Pc,Dee-6: Dice Defenders,"['Indie', 'Simulation', 'Strategy']"
1426330,Pc,Mega Veg Man,"['Action', 'Adventure']"
1426340,Pc,Super Dream-Weaver,"['Casual', 'Indie', 'RPG']"
1426370,Pc,Cat Attack,"['Indie', 'RPG']"
1426400,Pc,Beat 'Em Up,['Action']
1426440,Pc,MICROVOLTS: Recharged,"['Action', 'Casual', 'Free To Play']"
1426470,Pc,Blade Assault Playtest,
1426480,Pc,Fate of Kai,"['Adventure', 'Casual', 'Indie']"
1426490,Pc,LOST EPIC,"['Action', 'Indie', 'RPG']"
1426500,Pc,Reboot,['Indie']
1425550,Pc,Who is the Liar?,"['Indie', 'Strategy']"
1425580,Pc,Last Soul - Prologue,"['Action', 'Indie']"
1425590,Pc,HYPER METEOR,"['Action', 'Indie']"
1425620,Pc,赤蛮奇的头头大冒险 ~ Sekibanki Head Adventure,"['Adventure', 'Casual', 'Early Access']"
1425630,Pc,Space Crusaders,"['Action', 'Casual', 'Indie', 'Early Access']"
1425640,Pc,Minestrife,['Strategy']
1425670,Pc,Shadow Eclipse,"['Action', 'Indie', 'RPG', 'Early Access']"
1425690,Pc,Eden's Lair,['Action']
1425720,Pc,Human Constructor VR,['Simulation']
1425730,Pc,Gal*Gun Returns,"['Action', 'Adventure']"
1425830,Pc,Halley's Dream,"['Adventure', 'Casual', 'Indie']"
1425920,Pc,Crazy Engineer,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']"
1425130,Pc,Forgotten Hill First Steps,"['Adventure', 'Indie']"
1425140,Pc,Until Last Breath,"['Action', 'Adventure', 'Casual', 'Indie']"
1425170,Pc,Car Jump,['Racing']
1425240,Pc,Match It!,"['Casual', 'Free To Play']"
1425250,Pc,Gravity Field,['Indie']
1425260,Pc,Chibi Horror: The School,"['Adventure', 'Indie']"
1425270,Pc,PAGO FOREST: TOWER DEFENSE,['Strategy']
1425280,Pc,Tantal,"['Action', 'Adventure', 'Casual', 'Indie']"
1425300,Pc,Factorization,"['Indie', 'Simulation', 'Strategy', 'Early Access']"
1425330,Pc,Eye of the Beholder,"['Adventure', 'Casual', 'Indie']"
1425350,Pc,Botany Manor,['Adventure']
1425370,Pc,Razenroth 2,"['Action', 'Indie', 'RPG']"
1425380,Pc,10mg :),"['Action', 'Casual', 'Indie']"
1425390,Pc,Eat or DIE!,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']"
1425410,Pc,Castlehold,"['Free To Play', 'RPG', 'Strategy', 'Early Access']"
1425510,Pc,Clown In a House,"['Adventure', 'Casual', 'Indie', 'Simulation']"
1424630,Pc,CosmoDreamer,['Action']
1424640,Pc,余烬,"['Adventure', 'Casual', 'Indie', 'RPG']"
1424650,Pc,Flicker,"['Action', 'Casual', 'Indie']"
1424660,Pc,9-nine-:Episode 4,['Casual']
1424690,Pc,Hatchwell,"['Action', 'Adventure', 'Indie', 'RPG']"
1424700,Pc,The secret of the stone,['Indie']
1424710,Pc,Geneforge 1 - Mutagen,"['Adventure', 'Indie', 'RPG', 'Strategy']"
1424770,Pc,Aery - Little Bird Adventure,"['Adventure', 'Casual', 'Indie', 'Simulation']"
1424780,Pc,My Little Dog Adventure,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']"
1424790,Pc,Aery - Broken Memories,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']"
1424860,Pc,Bish Bash Bots,"['Action', 'Casual', 'Strategy']"
1424870,Pc,Cross Maid,"['Adventure', 'Casual', 'Indie']"
1424890,Pc,天仙变,"['Casual', 'Free To Play', 'Massively Multiplayer', 'RPG']"
1424900,Pc,Air Attack,"['Action', 'Casual', 'Indie', 'Free To Play']"
1424910,Pc,KEO,"['Action', 'Indie', 'Racing', 'Early Access']"
1424960,Pc,Random(platformer),"['Action', 'Casual', 'Indie']"
1424980,Pc,The Solitaire Conspiracy,"['Indie', 'Strategy']"
1425010,Pc,ForkJump,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Free To Play']"
1425030,Pc,Cyberwinter,"['Action', 'Indie', 'Strategy']"
1425050,Pc,Erazer - Devise & Destroy,"['Action', 'Casual', 'Indie']"
1425070,Pc,Golden Force,"['Action', 'Adventure', 'Indie']"
1425090,Pc,EXOTIUM - Episode 1,['Indie']
1425110,Pc,Space Empires I,['Strategy']
1425120,Pc,Clutter Evolution: Beyond Xtreme,"['Casual', 'Indie']"
1424190,Pc,Curious Alice,"['Adventure', 'Casual']"
1424250,Pc,Puzzzle,"['Casual', 'Free To Play', 'Indie', 'Simulation']"
1424270,Pc,Brew & Brawl - Gnomes vs. Dwarves,['Action']
1424300,Pc,Jester / King,"['Adventure', 'Casual', 'RPG', 'Simulation']"
1424350,Pc,Bunny Hill,"['Action', 'Casual', 'Indie', 'Racing', 'Sports']"
1424380,Pc,Bunker Down,"['Action', 'Casual', 'Indie']"
1424420,Pc,Warchief,"['Action', 'Indie', 'Strategy', 'Free To Play', 'Early Access']"
1424500,Pc,Secret of The Lost Keys - Episode I: The Attack on Disred,"['Action', 'Adventure']"
1424520,Pc,Astria,"['Action', 'Adventure', 'Free To Play', 'Indie']"
1424570,Pc,Delta0,"['Casual', 'Indie']"
1424610,Pc,自西徂东,"['Casual', 'RPG']"
1691590,Pc,Shield Cat Playtest,
1423780,Pc,Plague M.D.,"['Adventure', 'Casual', 'Indie', 'Simulation']"
1423830,Pc,Cave Crawl,"['Action', 'Indie']"
1423970,Pc,Hunt the Lights,"['Action', 'Casual', 'Indie']"
1423980,Pc,Streatham Hill Stories,"['Action', 'Indie', 'Massively Multiplayer']"
1424020,Pc,Wrath Of The Violent Vicar - Interactive Film,"['Action', 'Adventure', 'Indie', 'Simulation']"
1424050,Pc,Chess'Extra,"['Casual', 'Indie', 'Strategy', 'Free To Play']"
1424070,Pc,Blocks Stacking,['Casual']
1424080,Pc,Roads of Rome: New Generation 3 Collector's Edition,"['Adventure', 'Casual', 'Simulation', 'Strategy']"
1424120,Pc,Synth Swinger,"['Action', 'Adventure', 'Casual', 'Indie', 'Early Access']"
1423270,Pc,Ghost Stories 2,"['Action', 'Adventure', 'Indie']"
1423280,Pc,Synthwave Hop,"['Action', 'Indie']"
1423340,Pc,PolygonDuty,"['Action', 'Adventure', 'Indie']"
1423360,Pc,Swire Future,"['Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access']"
1423410,Pc,Zone of Death,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']"
1423420,Pc,Sublunar,"['Indie', 'Strategy']"
1423500,Pc,Darklands:Awakening,"['Action', 'Adventure', 'Indie']"
1423540,Pc,Air Gun Fighter,"['Action', 'Simulation']"
1423590,Pc,Wardroid,"['Adventure', 'Indie', 'RPG']"
1423670,Pc,Autopanic Zero,"['Action', 'Indie', 'Free To Play']"
1423680,Pc,DOGFIGHTER -WW2-,"['Action', 'Massively Multiplayer', 'Simulation']"
1423720,Pc,Antiprism,"['Action', 'Indie']"
1422880,Pc,Frisbee For Fun,"['Action', 'Adventure', 'Casual', 'Indie', 'Sports']"
1422910,Pc,Agent Klutz,"['Action', 'Adventure', 'Indie', 'Racing']"
1422930,Pc,Aripi,['Adventure']
1422950,Pc,Worm Adventure 4: Into the Wormhole,"['Action', 'Adventure', 'Indie']"
1422980,Pc,Structura,"['Indie', 'Simulation', 'Strategy']"
1423000,Pc,NeuroNet: Mendax Proxy,"['Adventure', 'Casual', 'Indie']"
1423010,Pc,Zephyr,"['Action', 'Racing', 'Sports']"
1423030,Pc,Evolution,"['Action', 'Adventure', 'Free To Play', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation']"
1412500,Pc,Paralyzed,['Indie']
1423060,Pc,wonShot,"['Action', 'Casual', 'Indie']"
1423090,Pc,Monster Collector,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Early Access']"
1423140,Pc,Assimilate! (A Party Game),"['Casual', 'Indie']"
1423200,Pc,Legacy - Witch Island 2,"['Adventure', 'Casual', 'Indie']"
1422380,Pc,Witches x Warlocks,"['Casual', 'Indie', 'Simulation', 'Free To Play']"
1422410,Pc,Into the Pit,"['Action', 'Indie']"
1422420,Pc,Dodgeball Academia,"['Action', 'Adventure', 'Indie', 'RPG', 'Sports']"
1422430,Pc,Next Space Rebels,"['Indie', 'Simulation']"
1422520,Pc,Divide and Conquer: The Board Game,['Strategy']
1422570,Pc,EchoBlade,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']"
1422610,Pc,Aurora,"['Casual', 'Indie']"
1422620,Pc,Lazarus Trials: Trial 101,"['Casual', 'Indie', 'Simulation']"
1422630,Pc,Active Neurons - Wonders Of The World,"['Casual', 'Indie', 'Strategy', 'Free To Play']"
1422670,Pc,Son Savaşçı,"['Action', 'Adventure', 'Casual', 'Indie']"
1422730,Pc,Hijacker Jack : ARCADE FMV,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']"
1422740,Pc,DIERY HEAVEN,"['Casual', 'Simulation']"
1422750,Pc,Aery - Sky Castle,"['Adventure', 'Casual', 'Indie', 'Simulation']"
1422780,Pc,Gizmos: Spooky Adventures,"['Casual', 'Indie', 'Strategy']"
